,Indicator Category,Indicator Code,Indicator,Reporting Economy Code,Reporting Economy,Partner Economy Code,Partner Economy,Product/Sector Classification Code,Product/Sector Classification,Product/Sector Code,Product/Sector,Period Code,Period,Frequency Code,Frequency,Unit Code,Unit,Year,Value Flag Code,Value Flag,Text Value,Value,Origin Firm,Origin Firm Profit,Origin output,#trading partners,destination Firm,destination Firm Profit,destination output,distance between origin and destination,colonised(1/0),common_lang(1/0),hsbc presence in destination,gdp of source,Percet Import,Y
0,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,9,"Coffee, tea, mate and spices",A,Annual,A,Annual,USD,US$,2017,,,,7314.278382,"Coffee, tea, mate and spices - Hong Kong, China- Ltd.",663164.3224,4421095.483,12,"Coffee, tea, mate and spices - Afghanistan- Ltd.",1097.141757,7314.278382,4566.617,0,0,0,19543976895,100,1
1,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,20,"Preparations of vegetables, fruit, nuts or other parts of plants",A,Annual,A,Annual,USD,US$,2017,,,,2023.032753,"Preparations of vegetables, fruit, nuts or other parts of plants - Hong Kong, China- Ltd.",72386.30232,482575.3488,10,"Preparations of vegetables, fruit, nuts or other parts of plants - Afghanistan- Ltd.",303.454913,2023.032753,4566.617,0,0,0,19543976896,100,1
2,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,39,Plastics and articles thereof,A,Annual,A,Annual,USD,US$,2017,,,,239967.6643,"Plastics and articles thereof - Hong Kong, China- Ltd.",187539.5863,1250263.909,15,Plastics and articles thereof - Afghanistan- Ltd.,35995.14965,239967.6643,4566.617,0,0,0,19543976897,100,1
3,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,41,Raw hides and skins (other than furskins) and leather,A,Annual,A,Annual,USD,US$,2017,,,,30144.0349,"Raw hides and skins (other than furskins) and leather - Hong Kong, China- Ltd.",8837.885235,58919.2349,3,Raw hides and skins (other than furskins) and leather - Afghanistan- Ltd.,4521.605235,30144.0349,4566.617,0,0,0,19543976898,100,1
4,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut)",A,Annual,A,Annual,USD,US$,2017,,,,33.8754692,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Hong Kong, China- Ltd.",22438.73144,149591.5429,16,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silkworm gut) - Afghanistan- Ltd.",5.08132038,33.8754692,4566.617,0,0,0,19543976899,100,1
5,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,43,Furskins and artificial fur; manufactures thereof,A,Annual,A,Annual,USD,US$,2017,,,,111857.5691,"Furskins and artificial fur; manufactures thereof - Hong Kong, China- Ltd.",584553.0621,3897020.414,6,Furskins and artificial fur; manufactures thereof - Afghanistan- Ltd.,16778.63537,111857.5691,4566.617,0,0,0,19543976900,100,1
6,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",A,Annual,A,Annual,USD,US$,2017,,,,1.0265294,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans - Hong Kong, China- Ltd.",8635.152889,57567.68593,13,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans - Afghanistan- Ltd.",0.15397941,1.0265294,4566.617,0,0,0,19543976901,100,1
7,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,57,Carpets and other textile floor coverings,A,Annual,A,Annual,USD,US$,2017,,,,1316.138966,"Carpets and other textile floor coverings - Hong Kong, China- Ltd.",1065839.722,7105598.145,20,Carpets and other textile floor coverings - Afghanistan- Ltd.,197.4208449,1316.138966,4566.617,0,0,0,19543976902,100,1
8,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,A,Annual,A,Annual,USD,US$,2017,,,,1294.838482,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery - Hong Kong, China- Ltd.",1542.681944,10284.54629,6,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery - Afghanistan- Ltd.,194.2257723,1294.838482,4566.617,0,0,0,19543976903,100,1
9,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,61,"Articles of apparel and clothing accessories, knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,126.3914285,"Articles of apparel and clothing accessories, knitted or crocheted - Hong Kong, China- Ltd.",23013.277,153421.8467,22,"Articles of apparel and clothing accessories, knitted or crocheted - Afghanistan- Ltd.",18.95871427,126.3914285,4566.617,0,0,0,19543976904,100,1
10,"Bilateral imports by detailed HS codes (2,4,6 digit)",HS_M_0010,"Bilateral imports by detailed HS codes (2,4,6 digit)",344,"Hong Kong, China",4,Afghanistan,HS,Harmonized System,62,"Articles of apparel and clothing accessories, not knitted or crocheted",A,Annual,A,Annual,USD,US$,2017,,,,686.6198313,"Articles of apparel and clothing accessories, not knitted or crocheted - Hong Kong, China- Ltd.",29096.81133,193978.7422,19,"Articles of apparel and clothing accessories, not knitted or crocheted - Afghanistan- Ltd.",102.9929747,686.6198313,4566.617,0,0,0,19543976905,100,1
